品牌	销售量	总销售额	平均评分
21KE	8193	1558867	95
360	11166	2222034	92
8848	2093	20687907	95
AGM	97901	92754099	96
Apple	13919474	70158113485	95
BIHEE	15682	2536478	97
CONQUEST	107	501616	100
MANN	9983	4913077	97
OPPO	1380079	3221015189	97
ROG	33963	148595917	94
Unihertz	3094	6347506	98
VERTU	220	2437380	98
iQOO	39151	107998798	96
miue	895	88605	98
oppo	548	1518152	98
vivo	2864555	7315557099	96
一加	846787	4166043093	95
三星（SAMSUNG）	674223	3734273564	94
不羁（unruly）	3258	227734	94
中兴（ZTE）	26769	31194062	97
乐易	38297	38258703	99
京崎（TOOKY）	48159	7858147	95
克里特（kreta）	1028	10046972	100
关爱心	45637	6078136	95
创星	18776	3844178	95
努比亚（nubia）	86811	335149399	92
华为（HUAWEI）	21783299	62246976840	96
多亲（QIN）	184009	77834641	94
天翼1号	48	47952	90
天语（K-TOUCH）	2249491	311110997	96
天语（K-Touch）	116314	25800803	96
守护宝	502227	94019868	96
小米（MI）	13983248	22263298351	95
小辣椒	282358	171137142	92
尼凯恩（neken）	333620	34568260	97
康佳（KONKA）	36441	11319584	95
捷语（GoFly）	14083	4679720	97
摩托罗拉（Motorola）	2834	35422166	91
易百年	4730	1225070	99
朵唯（DOOV）	324353	187839808	93
柔宇（ROYOLE）	1264	12624832	96
欧奇（OUKI）	102	61098	100
海信（Hisense）	87876	193971524	95
海语（HAIYU）	35461	3679824	93
爱户外（ioutdoor）	4639	1707152	98
真我（realme）	965503	1579828993	95
硕王	15768	2018304	98
索尼（SONY）	13697	85364803	89
索爱（soaiy）	143606	37544324	94
纽曼（Newman）	705987	100059742	96
联想	25593	95434607	95
联想（LENOVO）	375	1349625	93
联想（Lenovo）	697	2294353	96
联想（lenovo）	881	3068119	97
苹果（APPLE）	556	2867848	92
荣耀（honor）	8	33432	100
誉品（YEPEN）	75705	10467880	96
诺亚信（NOAIN）	16580	1641420	92
诺基亚（NOKIA）	1764691	390676766	96
遨游（AORO）	146	837080	100
酷比（koobee）	23	6877	100
酷派（Coolpad）	173209	110311638	94
金立（GiONEE）	1485	282488	96
金立（Gionee）	76878	47957079	95
锤子（smartisan）	70841	375386459	97
飞利浦（PHILIPS）	4080968	758091781	96
魅族（MEIZU）	119103	430400918	92
黑鲨	188662	634506094	93
