品牌,手机名称,价格,销量,好评率,购买链接
Apple,商品名称：AppleiPhone 11,4799,4583804,95,http://item.jd.com/100008348542.html
真我（realme）,商品名称：真我Q2,1199,91583,96,http://item.jd.com/100008900999.html
Apple,商品名称：AppleiPhone 12,6799,301534,93,http://item.jd.com/100009077475.html
vivo,商品名称：vivoiQOO Neo3,2998,322076,94,http://item.jd.com/100012820028.html
Apple,商品名称：AppleiPhone 12 Pro Max,10099,168342,97,http://item.jd.com/100016034372.html
OPPO,商品名称：OPPOK7x,1499,62241,96,http://item.jd.com/100009255069.html
海信（Hisense）,商品名称：海信A5 Pro 阅读手机,1999,24446,96,http://item.jd.com/100012799294.html
小米（MI）,商品名称：小米Redmi 8A,699,1251076,97,http://item.jd.com/100009082466.html
小米（MI）,商品名称：小米Redmi K30,1599,641385,94,http://item.jd.com/100010617232.html
飞利浦（PHILIPS）,商品名称：飞利浦E258S,165,417998,99,http://item.jd.com/8717360.html
小米（MI）,商品名称：小米Redmi 10X 5G,1399,247720,95,http://item.jd.com/100013314088.html
小米（MI）,商品名称：小米Redmi Note9 Pro,1599,167770,95,http://item.jd.com/100016799390.html
oppo,商品名称：oppooppo手机 reno5,2699,125,97,http://item.jd.com/10025039263606.html
华为（HUAWEI）,商品名称：华为荣耀Play4T,1288,667164,97,http://item.jd.com/100012407280.html
真我（realme）,商品名称：真我X7 Pro,2299,59740,93,http://item.jd.com/100008303849.html
小米（MI）,商品名称：小米Redmi Note 9 4G,1099,90451,97,http://item.jd.com/100016784108.html
小米（MI）,商品名称：小米Redmi 9,999,383742,98,http://item.jd.com/100013941182.html
华为（HUAWEI）,商品名称：华为荣耀Play4TPro,1788,868142,97,http://item.jd.com/100006788665.html
OPPO,商品名称：OPPO Reno5 5G,2799,656,98,http://item.jd.com/10024984759616.html
vivo,商品名称：vivoiQOO Z1,2598,246777,96,http://item.jd.com/100007166029.html
小米（MI）,商品名称：小米Redmi 10X 4G,999,466697,97,http://item.jd.com/100007252923.html
小米（MI）,商品名称：小米（MI）小米红米9A,618,56100,96,http://item.jd.com/71828396193.html
OPPO,商品名称：OPPOAce2,2949,90153,94,http://item.jd.com/100012372810.html
小米（MI）,商品名称：小米Redmi  Note9 5G,1299,61111,97,http://item.jd.com/100016773624.html
金立（Gionee）,商品名称：金立（Gionee）K30 ,779,224,100,http://item.jd.com/10024381153845.html
Apple,商品名称：AppleiPhone 11,4499,195572,95,http://item.jd.com/56664781382.html
一加,商品名称：一加8T,3399,89104,95,http://item.jd.com/100008807575.html
小米（MI）,商品名称：小米Redmi 9A,799,638313,98,http://item.jd.com/100008611953.html
OPPO,商品名称：OPPOK7,1999,131787,95,http://item.jd.com/100014448218.html
OPPO,商品名称：OPPOA52,1399,69776,95,http://item.jd.com/100006964799.html
华为（HUAWEI）,商品名称：华为（HUAWEI）Mate 40 Pro,7999,10783,96,http://item.jd.com/10023108638660.html
小米（MI）,商品名称：小米10至尊纪念版,5299,156934,93,http://item.jd.com/100014565800.html
小米（MI）,商品名称：小米Redmi Note8 Pro,1299,1117059,96,http://item.jd.com/7437714.html
华为（HUAWEI）,商品名称：华为（HUAWEI）nova 7 5G,3499,22430,96,http://item.jd.com/68389838720.html
小米（MI）,商品名称：小米10,3799,665450,92,http://item.jd.com/100014418816.html
三星（SAMSUNG）,商品名称：三星Galaxy S20 5G,5999,79428,95,http://item.jd.com/100006349795.html
OPPO,商品名称：OPPO Reno5 5G,2799,656,98,http://item.jd.com/10024984759616.html
诺基亚（NOKIA）,商品名称：诺基亚105,129,754052,98,http://item.jd.com/100008492072.html
vivo,商品名称：vivoiQOO 3,3698,108025,94,http://item.jd.com/100011408386.html
vivo,商品名称：vivoX50,3298,46161,96,http://item.jd.com/100013240168.html
华为（HUAWEI）,商品名称：华为P40 Pro+,7988,47803,97,http://item.jd.com/100007299145.html
飞利浦（PHILIPS）,商品名称：飞利浦E256S,282,130195,99,http://item.jd.com/100000322417.html
金立（Gionee）,商品名称：金立（Gionee）K30 ,779,224,100,http://item.jd.com/10024381153845.html
vivo,商品名称：vivoY52s,1798,2607,94,http://item.jd.com/100009737523.html
黑鲨,商品名称：黑鲨游戏手机3,2999,111168,92,http://item.jd.com/100006222219.html
联想,商品名称：联想拯救者电竞手机,3999,23372,93,http://item.jd.com/100014090898.html
一加,商品名称：一加8 Pro,5999,126172,95,http://item.jd.com/100006713417.html
三星（SAMSUNG）,商品名称：三星Galaxy Note20 Ultra 5G,9199,18432,93,http://item.jd.com/100014589194.html
遨游（AORO）,商品名称：遨游（AORO）AORO_A9,5980,67,100,http://item.jd.com/71900139863.html
OPPO,商品名称：OPPOReno4 SE,2499,40902,96,http://item.jd.com/100008603015.html
小米（MI）,商品名称：小米Redmi Note8,899,1277821,97,http://item.jd.com/100007958784.html
三星（SAMSUNG）,商品名称：三星Galaxy A51,2299,124228,92,http://item.jd.com/100013205938.html
华为（HUAWEI）,商品名称：华为（HUAWEI）nova 5i,1529,31549,97,http://item.jd.com/30191153091.html
天语（K-TOUCH）,商品名称：天语Q31,119,256717,97,http://item.jd.com/6380419.html
小辣椒,商品名称：小辣椒20190416Q,688,1282,98,http://item.jd.com/10023751612665.html
华为（HUAWEI）,商品名称：华为（HUAWEI）华为 Mate40 Pro,7999,8166,97,http://item.jd.com/10022926646994.html
