工作地区	平均工资	占比
杭州-上城区	96250	2	
上海-静安区	82071	7	
无锡-滨湖区	75500	3	
杭州-余杭区	75000	5	
上海	60041	12	
上海-浦东新区	51337	43	
上海-徐汇区	44055	9	
上海-北外滩	32500	30	
上海-普陀区	28833	3	
上海-张江	26500	30	
杭州-滨江区	24750	4	
北京-海淀区	23900	5	
成都-武侯区	23757	33	
福州-鼓楼区	23500	1	
保定	22500	1	
上海-青浦区	22500	1	
深圳-沙嘴	22232	28	
成都-高新区	21176	34	
北京-昌平区	21000	1	
上海-宝山区	20500	3	
无锡-梁溪区	20000	1	
深圳	20000	1	
深圳-宝安区	20000	1	
北京-朝阳区	19500	3	
武汉-武昌区	19500	1	
深圳-南山区	19229	37	
杭州-萧山区	19000	30	
深圳-福田区	18542	35	
广州	18250	2	
深圳-龙华区	18166	3	
宁波-鄞州区	18000	1	
无锡	17500	2	
深圳-龙岗区	17500	1	
重庆-南岸区	17500	1	
上海-长宁区	17500	5	
上海-杨浦区	17500	1	
广州-白云区	17500	1	
广州-荔湾区	17000	1	
苏州-吴中区	17000	2	
广州-黄埔区	17000	6	
苏州-工业园区	16833	3	
北京	16625	4	
上海-闵行区	16625	4	
成都-双流区	16250	2	
南京-雨花台区	16166	3	
无锡-惠山区	16000	1	
北京-东城区	16000	1	
西安-灞桥区	16000	1	
合肥-庐阳区	16000	29	
南京-鼓楼区	15833	3	
深圳-罗湖区	15000	3	
昆山	15000	1	
沈阳-浑南区	15000	1	
沈阳	15000	1	
苏州-高新区	15000	2	
广州-海珠区	14500	2	
广州-越秀区	14500	1	
杭州-拱墅区	14000	1	
南京	14000	2	
东莞-寮步镇	14000	1	
佛山-顺德区	13750	2	
济南-高新区	13500	2	
杭州-西湖区	13400	5	
西安-碑林区	13250	2	
大连	13250	2	
成都	13250	2	
合肥-包河区	12750	2	
苏州-虎丘区	12500	1	
大连-沙河口区	12500	1	
青岛-市南区	12500	2	
南昌-红谷滩新区	12500	1	
兰州-城关区	12500	1	
盐城-盐都区	12500	1	
常州-新北区	12500	30	
珠海-珠海高新区	12500	1	
郑州-郑东新区	12500	1	
东莞-横沥镇	12500	1	
合肥-经开区	12500	1	
上海-金山区	12500	1	
无锡-锡山区	12500	1	
沈阳-皇姑区	12500	1	
郑州-金水区	12500	1	
广州-番禺区	12250	2	
武汉	12166	6	
长沙-岳麓区	12000	1	
东莞-东莞市	12000	30	
武汉-东湖新技术产业开发区	12000	1	
广州-天河区	11937	8	
上海-黄浦区	11875	2	
佛山-禅城区	11750	2	
武汉-洪山区	11500	37	
佛山-南海区	11500	1	
沈阳-和平区	11500	1	
桂林	11250	2	
南京-秦淮区	11000	1	
长沙	11000	1	
福州-闽侯县	10500	1	
南昌-青山湖区	10500	1	
南昌	10500	1	
西安-长安区	10500	1	
上海-周家嘴路	10000	30	
厦门-集美区	9750	2	
长沙-雨花区	9500	1	
湖州	9500	1	
大连-高新园区	9500	2	
东莞	9000	1	
昆明-盘龙区	9000	1	
武汉-黄陂区	9000	1	
广州-江南大道	8500	30	
无锡-无锡新区	8500	1	
苏州	8500	1	
长沙-开福区	8250	2	
芜湖	8000	1	
南宁-青秀区	7000	1	
九江	7000	1	
广州-从化区	7000	1	
西安	6750	1	
青岛-平度市	6500	1	
邯郸	6000	1	
泸州	5250	1	
泰安	4500	1	
