岗位名称	公司名称	最低工资	最高工资
JAVA开发高级工程师	盈德气体（上海）有限公司	300000	550000
Java	PwC 普华永道	250000	500000
后端Java开发工程师	杭州热联集团股份有限公司	300000	400000
高级JAVA开发工程师	澳汰尔工程软件（上海）有限公司	200000	400000
Java资深开发工程师	上海互普网络科技有限公司	180000	360000
Java高级开发工程师	浙江一山智慧医疗研究有限公司	250000	350000
java	上海埃威航空电子有限公司	150000	300000
Java开发工程师	上海宝信数据中心有限公司	200000	300000
Java虚拟机研发工程师	无锡先进技术研究院	150000	250000
中级JAVA软件开发工程师	上海期安智能科技有限公司	150000	200000
Java开发工程师\	北京四维图新科技股份有限公司	25000	50000
Java高级开发工程师	网易	25000	50000
Java架构师	深圳市倍轻松科技股份有限公司	30000	40000
资深高级JAVA开发工程师	上海点掌文化科技股份有限公司	30000	40000
Java架构师	上海思亮信息技术股份有限公司	30000	40000
高级JAVA架构师	紫光数码集团北京总部	25000	40000
JAVA工程师	上海同策房产咨询股份有限公司	30000	40000
高级Java工程师	问向教育科技(上海)有限公司	20000	40000
Java	Ericsson (China) Communications Co.LTD 爱立信（中国）通信有限公司	20000	35000
Java架构师	拓德（武汉）软件有限公司	25000	35000
Java架构师	广州若羽臣科技股份有限公司	25000	35000
JAVA後端开发工程师	心象软件信息技术(上海)有限公司	12000	35000
Java架构师	广州市昊链信息科技股份有限公司	25000	30000
资深Java开发工程师	深圳橄榄健康信息有限公司	18000	30000
Java中高级开发工程师	亚信科技CTC	15000	30000
Java开发工程师	亚信科技PRD	15000	30000
Java高级开发工程师	上海士清信息技术有限公司	15000	30000
Java开发工程师	新智道枢（上海）科技有限公司	15000	30000
高级Java开发工程师	平安科技（深圳）有限公司	25000	30000
Java架构师	台达电子企业管理（上海）有限公司	25000	30000
Java资深开发工程师	上海东建科技发展有限公司	25000	30000
Java高级开发工程师	联众融资租赁（上海）有限公司	18000	30000
JAVA	上海百服财务咨询有限公司	25000	30000
高级Java开发工程师	新风天域（天津）投资有限公司	25000	30000
JAVA开发经理	南京普惠恒丰信息科技有限公司	20000	30000
Java开发工程师	中城智慧科技有限公司	20000	30000
Java高级开发工程师	上海航数智能科技有限公司	20000	30000
Java后端开发工程师	上海驿悦航空服务有限公司	25000	30000
JAVA初级\	申通快递有限公司	15000	30000
Java开发工程师	中企筑链科技有限公司	15000	30000
Java高级开发工程师	广东医柜智能科技有限公司	20000	30000
Java开发工程师	亚信科技（杭州）有限公司	18000	30000
高级java工程师	亚信在线BIU	20000	29000
Java高级开发工程师	十方天资（北京）文化科技发展有限公司	14000	28000
Java开发工程师	上海大易云计算有限公司	14000	28000
Java开发工程师	浙江盛瑭贸易有限公司	13000	26000
Java开发工程师	北京沃丰时代数据科技有限公司武汉分公司	13000	26000
Java工程师	勤达睿（中国）信息科技有限公司	21000	26000
Java开发工程师	上海复创互联网科技有限公司	15000	25000
Java资深开发工程师	深圳锦弘霖科技有限公司	17000	25000
中高级JAVA开发工程师	深圳市拓保软件有限公司	20000	25000
JAVA软件工程师	苏州星恒通导航技术有限公司	15000	25000
Java开发工程师	追目智能科技（上海）有限公司	18000	25000
Java开发工程师	先达国际货运（上海）有限公司	12000	25000
Java开发工程师	亚信科技IDC	15000	25000
Java开发工程师\	上海艾融软件股份有限公司	15000	25000
Java开发工程师	深圳博瑞天下科技有限公司	15000	25000
Java高级工程师	上海博奇汽车技术有限公司	20000	25000
Java开发工程师	拜椰特（上海）软件技术有限公司	12000	25000
Java高级开发工程师	上海企通数字科技有限公司	15000	25000
Java开发工程师	上海瑞车信息科技有限公司	20000	25000
Java开发工程师	江苏嘉图网络科技股份有限公司	15000	25000
Java高级开发工程师	悉望数智科技（杭州）有限公司	18000	25000
Java开发工程师	亚信科技（中国）有限公司	15000	25000
java开发工程师	太极计算机股份有限公司	20000	25000
java高级开发工程师	上海晓材科技有限公司	15000	25000
高级JAVA开发	深圳市全民通控股集团有限公司	15000	25000
Java开发组长	深圳市蓝鹰立德科技有限公司	15000	25000
Java高级开发工程师	浙江纽联科技有限公司	20000	25000
Java研发工程师	中建西部建设股份有限公司	13000	25000
JAVA系统架构师	广州天源信息科技股份有限公司	18000	25000
Java高级开发工程师	浙江文谷亦云科技有限公司	12000	24000
Java高级开发工程师	海华税务师事务所有限公司深圳分公司	17000	23000
Java	苏州文库安全技术工程有限公司	13000	22000
Java开发工程师	浙江元翼科技有限公司	15000	22000
Java高级开发工程师	亚信科技OBC	11000	22000
Java开发工程师	北京新致方舟科技有限公司	15000	20000
Java中级开发工程师	北京思诺博信息技术有限公司	10000	20000
Java开发	深圳市银拓科技有限公司	10000	20000
Java开发工程师	上海零假设信息科技有限公司	15000	20000
JAVA开发工程师	广汇国际汽车贸易有限责任公司	12000	20000
中级JAVA软件工程师	上海拓者软件科技有限公司	15000	20000
Java技术经理	中健云康（广州）物流供应链有限公司	15000	20000
Java后台开发工程师	深圳市同和信息技术有限公司	10000	20000
Java开发	杭州小火堆网络科技有限公司	13000	20000
Java开发工程师	武大吉奥信息技术有限公司	15000	20000
Java高级开发工程师	成都鸿源锦程机器人有限公司	12000	20000
Java	上海芥箴健康咨询有限公司	13000	20000
高级Java开发工程师	高新兴智联	10000	20000
Java开发工程师	深圳市郑中设计股份有限公司	15000	20000
对日JAVA软件工程师	上海海隆信技软件有限公司	15000	20000
Java开发工程师	上海得逸信息技术有限公司	15000	20000
Java开发工程师	吉致汽车金融有限公司	15000	20000
Java服务器开发工程师	中国石油天然气管道工程有限公司	8000	20000
高级Java开发工程师	广州宏算信息科技有限公司	15000	20000
Java工程师	广东移远通信技术有限公司	10000	20000
Java开发工程师	大连慧瑞咨询有限公司	15000	20000
Java开发工程师	深圳市广汇通智能科技有限公司	12000	20000
JAVA开发工程师	江苏劳务圈信息技术有限公司	10000	20000
Java架构师	沈阳云游网络科技有限公司	10000	20000
java开发工程师	惠州大亚湾紫旭智慧科技有限公司	15000	20000
高级JAVA开发工程师	神州数码信息服务股份有限公司	12000	20000
Java开发工程师	浙江云端保网络科技有限公司	10000	20000
Java架构师	万紫智造系统（深圳）有限公司	15000	20000
Java高级开发工程师	友邦资讯科技（广州）有限公司	15000	20000
Java开发工程师	南京科融数据系统股份有限公司上海分公司	15000	20000
Java开发工程师	上海富由投资管理有限公司	15000	20000
高级JAVA开发工程师	江苏慧眼数据科技股份有限公司	12000	20000
Java高级开发工程师	广州恒通信息技术有限公司	15000	20000
Java开发工程师	深圳市宇航智能信息技术有限公司	15000	20000
Java全栈软件工程师	浙江志库数字技术有限责任公司	10000	20000
Java高级开发工程师	武汉华起物联科技有限公司	15000	20000
Java开发工程师	北京竞业达数码科技股份有限公司	10000	20000
Java开发工程师	蔚莱（深圳）数字科技有限公司	15000	20000
高薪急招java工程师	上海汉朔信息科技有限公司	12000	20000
Java开发工程师	北京迪博风控技术有限公司	15000	20000
Java开发工程师	上海华天创智软件有限公司	15000	20000
Java后台开发工程师	南京云巅电子科技有限公司	15000	20000
中高级Java开发工程师	苏州迈科网络安全技术股份有限公司	10000	20000
Java开发工程师	上海胜扬信息科技有限公司	15000	20000
JAVA开发工程师	歌联科技（上海）有限公司	12000	20000
