job_name	company_name	min_salary	max_salary	education	workyear	workarea	companytype	issuedate
Java高级开发工程师	武汉一步汽车服务有限公司	13000	18000	大专	3-4	武汉	民营公司	2022-01-01 09:00:01
Java后台开发工程师	深圳市同和信息技术有限公司	10000	20000	大专	2	佛山-顺德区	民营公司	2022-01-01 09:00:01
Java开发工程师	上海智聆信息技术有限公司	7000	10000	本科	1	无锡-无锡新区	民营公司	2022-01-01 09:00:01
Java	苏州文库安全技术工程有限公司	13000	22000	大专	5-7	苏州-工业园区	民营公司	2022-01-01 09:00:01
Java高级开发工程师	沈阳中航安科科学技术有限公司	10000	15000	大专	3-4	沈阳-皇姑区	民营公司	2022-01-01 09:00:01
中级JAVA软件工程师	上海拓者软件科技有限公司	15000	20000	大专	2	上海-杨浦区	民营公司	2022-01-01 09:00:01
对日JAVA软件工程师	上海海隆信技软件有限公司	15000	20000	大专	5-7	上海-黄浦区	民营公司	2022-01-01 09:00:01
Java开发工程师	楚臻科技（武汉）有限责任公司	7000	11000	大专	2	武汉-洪山区	民营公司	2022-01-01 09:00:01
Java开发工程师	上海大易云计算有限公司	14000	28000	本科	2	苏州-工业园区	合资	2022-01-01 09:00:01
JAVA开发工程师	苏州盈合工具有限公司	9000	15000	本科	1	苏州-工业园区	民营公司	2022-01-01 09:00:01
Java开发工程师	苏州万店掌网络科技有限公司	8000	12000	本科	2	苏州-高新区	民营公司	2022-01-01 09:00:01
高级JAVA开发工程师	江苏慧眼数据科技股份有限公司	12000	20000	本科	1	无锡-惠山区	民营公司	2022-01-01 09:00:01
java初级工程师	武汉大工尹科技发展有限公司	5000	8000	本科	1	武汉	民营公司	2022-01-01 09:00:01
Java开发工程师	南京欧奔软件技术有限公司	8000	15000	本科	3-4	西安-碑林区	民营公司	2022-01-01 08:58:01
Java开发工程师	湖南强视信息科技有限公司	5000	10000	大专	2	长沙-开福区	民营公司	2022-01-01 08:55:38
JAVA开发经理	南京普惠恒丰信息科技有限公司	20000	30000	本科	5-7	南京	民营公司	2022-01-01 08:49:09
Java开发工程师	沈阳神之马科技有限公司	10000	15000	大专	3-4	珠海-珠海高新区	民营公司	2022-01-01 08:48:30
Java中级开发工程师	上海埃帕信息科技有限公司	10000	15000	大专	2	上海-浦东新区	民营公司	2022-01-01 08:41:14
Java高级开发工程师	江西四平集团有限公司	9000	12000	本科	5-7	南昌	民营公司	2022-01-01 08:37:59
Java	上海鸿辰信息科技有限公司	10000	15000	本科	3-4	郑州-金水区	民营公司	2022-01-01 08:34:28
Java	上海芥箴健康咨询有限公司	13000	20000	本科	3-4	上海-普陀区	民营公司	2022-01-01 08:27:23
Java后台开发工程师	南京云巅电子科技有限公司	15000	20000	本科	3-4	南京-鼓楼区	民营公司	2022-01-01 08:23:35
Java开发工程师	江西圣东智能科技有限公司	6000	15000	本科	3-4	南昌-青山湖区	民营公司	2022-01-01 08:17:27
Java开发工程师	上海汇赋科技信息有限公司	8000	14000	本科	2	长沙	民营公司	2022-01-01 08:00:01
Java开发工程师	摩巴（大连）自动控制系统有限公司	8000	10000	本科	3-4	大连	外资（欧美）	2022-01-01 08:00:01
Java架构师	上海思亮信息技术股份有限公司	30000	40000	本科	3-4	上海-宝山区	民营公司	2022-01-01 08:00:01
Java开发工程师	上海昭隆软件科技有限公司	10000	15000	本科	3-4	兰州-城关区	民营公司	2022-01-01 08:00:01
Java虚拟机研发工程师	无锡先进技术研究院	150000	250000	硕士	3-4	无锡-滨湖区	事业单位	2022-01-01 08:00:01
Java高级开发工程师	联众融资租赁（上海）有限公司	18000	30000	本科	5-7	上海-浦东新区	民营公司	2022-01-01 08:00:01
Java开发工程师	上海同道信息技术有限公司	8000	10000	本科	1	上海-徐汇区	民营公司	2022-01-01 08:00:01
Java开发工程师	汇思软件（上海）有限公司	9000	13000	本科	3-4	广州-天河区	民营公司	2022-01-01 08:00:01
Java后端开发工程师	上海驿悦航空服务有限公司	25000	30000	本科	5-7	上海-长宁区	民营公司	2022-01-01 08:00:01
java高级开发工程师	上海晓材科技有限公司	15000	25000	本科	2	上海	民营公司	2022-01-01 08:00:01
Java资深开发工程师	上海东建科技发展有限公司	25000	30000	本科	5-7	上海	民营公司	2022-01-01 08:00:01
