专业名称	平均分数线（高到低）
公共关系学	409
国别与区域研究	402
美术理论研究	397
信息艺术设计	390
国民经济动员学	388
高级秘书与行政助理学	386
公共组织与人力资源	385
中国政治	383
符号学	382
网络与新媒体	382
传媒艺术学	381
媒介管理学	380
公共财政与公共政策	380
非传统安全	380
政府经济管理	379
地方政府与社会治理	377
电子政务	376
能源与气候经济	375
公共管理信息化理论与技术	375
犯罪心理学	375
城乡发展与规划	375
物流管理与工程	372
文化研究	372
医院管理与卫生政策	372
医药信息系统	370
互联网金融学	370
法与经济学	370
军事法学	370
饭店管理	370
电视电影与视听传播学	370
艺术与科学	370
创业学	370
文化传播学	370
话语与传播	368
对外汉语教学	368
财务学	368
网络经济学	368
企业经济学	368
金融统计、保险精算与风险管理	367
广播电视学	367
新媒体	365
社会心理学	365
广告学	365
(专业学位)运动医学	365
古典学	365
信息分析	365
市场营销管理	365
党的历史与理论	365
传媒经济学	365
创造性写作	365
艺术史论	365
自然资源管理	365
比较法学	365
可持续发展管理	365
食品经济管理	365
体育文化与管理	365
中国画	365
汉语国际推广	365
文化资源与文化产业	365
社会法学	365
写作学	365
广播电视艺术学	364
工程与项目管理	363
儿童文学	362
环保装备及工程	362
(专业学位)出版	362
投资学	362
法语语言文学	361
(专业学位)朝鲜语口译	361
土地行政与房地产管理	360
公共政策	360
发展经济学	360
中国现当代文学	360
传播学	360
俄语语言文学	360
中国特色社会主义理论	360
休闲学	360
商业经济学	360
中国学	360
国别和区域研究	360
公共治理与公共政策	360
公司治理	360
工程项目管理	360
国际经济学	360
外国语言学及应用语言学	359
基础教育学	359
西班牙语语言文学	359
数字媒体艺术设计及理论	359
亚非语言文学	359
语言学及应用语言学	359
档案学	359
(专业学位)日语口译	359
(专业学位)新闻与传播	359
翻译学	359
图书馆学	359
比较文学与世界文学	359
新闻学	359
文化产业管理	358
(专业学位)日语笔译	358
(专业学位)英语口译	358
(专业学位)英语笔译	358
行政管理	358
日语语言文学	358
文艺学	358
外国语言文学	358
中国古代文学	358
房地产经济学	358
播音主持艺术学	357
中国语言文学	357
新闻传播学	357
汉语言文字学	357
德语语言文学	357
英语语言文学	357
市场营销学	357
健康管理	357
(专业学位)翻译	357
中国古典文献学	356
老年学	356
印度语言文学	356
(专业学位)西班牙语口译	355
闽南民俗文化与民间文艺	355
艺术传播	355
社会保障	355
比较文学与跨文化研究	355
(专业学位)阿拉伯语口译	355
商务英语研究	355
(专业学位)俄语笔译	355
复杂装备研制管理	355
情报学	355
数字出版与传播	355
(专业学位)法语口译	355
公共人力资源管理	355
跨文化研究	355
对外汉语	355
闽南文化与家族社会	355
审美文化与文学	355
财务管理	355
音乐学	355
文化产业	355
华语与华文教育	355
编辑出版学	355
台湾文化研究	355
全球治理	355
中华文化国际传播	355
写作理论与实践	355
(专业学位)德语口译	355
精算学	355
语文教育	355
发展传播学	355
地域文化与文学	355
外语课程与教学	355
音乐文学	355
法经济学	355
欧洲语言文学	355
戏剧影视文学	355
(专业学位)德语笔译	355
应用文体学	355
文化传播	355
文化创意学	355
信息管理	354
人力资源管理	354
国民经济学	354
阿拉伯语语言文学	354
公共管理	354
政治哲学	354
设计艺术学	354
(专业学位)电影	354
外交学	354
化妆品科学与技术	354
财政学	353
中国少数民族语言文学	353
(专业学位)俄语口译	353
(专业学位)应用统计	353
经济思想史	353
绘画艺术研究	353
市场营销	353
(专业学位)朝鲜语笔译	353
经济史	353
中国民间文学	352
(专业学位)税务	352
土地资源管理	352
(专业学位)艺术	351
国学	351
政治经济学	351
应急管理	351
景观规划设计	351
(专业学位)金融	351
农林经济管理	351
西方经济学	351
金融学	351
会计学	351
(专业学位)保险	351
艺术学理论	350
卫生事业与药事管理	350
(专业学位)音乐	350
民族教育学	350
知识产权法学	350
体育管理	350
人口、资源与环境经济学	350
(专业学位)法语笔译	350
公共经济管理	350
能源经济与管理	350
(专业学位)艺术设计	350
图书情报与档案管理	350
心理语言学	350
国家监察学	350
国家安全管理	349
音乐与舞蹈学	349
世界经济	349
设计学	349
(专业学位)广播电视	349
戏剧戏曲学	349
(专业学位)戏曲	349
企业管理	349
产业经济学	349
数量经济学	349
国际政治	349
理论经济学	349
金融工程	349
国际政治经济学	349
应用经济学	349
中药生物技术学	349
国际贸易学	349
信息资源管理	349
工商管理	349
技术经济及管理	348
农村发展	348
戏剧与影视学	348
(专业学位)美术	348
(专业学位)国际商务	348
保险学	348
电影学	348
艺术学	348
舞蹈学	347
绘画	347
声音科学与艺术	347
区域经济学	347
造型艺术	347
国际商务	347
体育舞蹈学	347
中国书画	347
体育表演与音乐学	347
民间美术	347
服装艺术设计	347
社会工作	347
美育学	347
数字媒体艺术	347
动画艺术学	347
房地产经济与管理	347
电影制作学	347
环境艺术设计	347
美术学	347
心理学	346
公共信息资源管理	346
教育经济与管理	345
商法	345
国际经济法	345
信息管理与信息系统	345
人机与环境工程	345
城市学	345
劳动经济学	345
管理运筹学	345
酒店管理学	345
传媒经营管理	345
汉外对比语言学	345
管理工程	345
城市规划与管理	345
审计学	345
职业发展教育	345
(专业学位)资产评估	345
体育产业管理	345
中国近现代社会治理	345
跨国供应链管理	345
公共组织与人力资源管理	345
应用心理学	345
企业文化与伦理	345
管理科学	345
老年保健与姑息医学	345
经济计算与模拟	345
农村发展与管理	345
政府预算管理	345
★产业经济	345
艺术管理	345
(专业学位)教育	345
城市公共设施信息化管理	345
现代物流与供应链	345
(专业学位)舞蹈	345
产业组织与规制	345
区域与产业经济管理	345
青年马克思主义者培养研究	345
比较政治学	345
会展与节事管理	345
体育经济与管理	345
食物经济管理	345
体育管理学	345
公共安全管理	345
法商管理	345
商业大数据分析	345
体育赛事运作	345
建设与房地产管理	345
全球学	345
城市管理	345
(专业学位)戏剧	345
资源经济与土地管理	345
健康与社会行为学	345
★农业技术经济	345
卫生政策与管理	345
社会政策与社会管理	345
创业管理	345
电子商务	345
流通工程与技术管理	345
企业发展与创新	345
国际关系	345
房地产管理学	345
卫生检验与检疫	345
房地产开发与管理	345
环境管理	345
体育经营管理	345
农业经济管理	344
管理科学与工程	344
中外政治制度	344
投资经济学	344
流通经济与管理	344
能源经济	343
马克思主义与中国经济社会发展	343
文化创意产业	343
运输经济与物流	343
税收学	343
公共经济与管理	343
技术经济学	343
投资经济	343
互联网经济	343
农村经济学	343
金融工程学	343
低碳经济学	343
规制经济学	343
比较政治经济学	343
农业经济学	343
资源环境与循环经济	343
资源与环境经济学	343
林业经济管理	343
风险管理与精算	343
城市经济与管理	343
政策性金融学	343
比较经济体制学	343
转轨经济学	343
金融与风险统计	343
知识产权	342
旅游管理	342
(专业学位)应用心理	342
政治学理论	341
教育学原理	341
比较教育学	341
(专业学位)学前教育	341
逻辑学	341
社会医学与卫生事业管理	340
跨文化教育	340
电子封装	340
湿地生态学	340
核能发电工程	340
物流管理	340
科学社会主义与国际共产主义运动	340
研究生教育学	340
社会工作与社会政策	340
(专业学位)学科教学（英语）	340
安全科学与减灾	339
运动康复与健康	339
(专业学位)小学教育	339
教育法学	339
教育学	339
环境与资源保护法学	339
发展与教育心理学	338
课程与教学论	338
宗教学	338
社会治理法学	338
学前教育学	338
侦查学	338
德育学	338
经济统计学	337
思想政治教育	337
中共党史	337
(专业学位)汉语国际教育	337
教育史	337
外国哲学	337
党的建设	337
马克思主义中国化研究	336
社会学	336
高等教育学	336
教育领导与管理	336
(专业学位)学科教学（语文）	336
(专业学位)学科教学（地理）	336
诉讼法学	335
国际汉语教育	335
质量工程与管理	335
民商法学	335
宪法学与行政法学	335
(专业学位)学科教学（数学）	335
史学理论及史学史	335
中国史	335
历史地理学	335
(专业学位)文物与博物馆	335
知识产权与科技创新	335
考古学及博物馆学	335
民族政治学	335
区域经济管理	335
农村财务管理	335
(专业学位)学科教学（思政）	335
马克思主义理论	335
农村与区域发展	335
政治学	335
马克思主义基本原理	335
经济法学	335
国外马克思主义研究	335
(专业学位)心理健康教育	335
(专业学位)学科教学（生物）	335
药用植物学	335
法律史	334
马克思主义哲学	334
世界史	334
中国近现代史	334
刑法学	334
民俗学	334
(专业学位)法律（非法学）	334
人口学	334
美学	334
特殊教育学	334
(专业学位)学科教学（化学）	334
中国近现代史基本问题研究	333
(专业学位)学科教学（历史）	333
职业技术教育学	333
经济数学	333
(专业学位)学科教学（物理）	333
马克思主义发展史	333
成人教育学	333
人类学	333
精细化工	333
(专业学位)现代教育技术	332
知识产权法	332
法学	332
(专业学位)科学与技术教育	332
(专业学位)教育管理	332
(专业学位)职业技术教育	332
(专业学位)学科教学（美术）	332
(专业学位)社会工作	332
机器人科学与工程	332
国际法学	332
教育经济学	331
(专业学位)特殊教育	331
学校心理学	331
教育统计、测量与评价	331
法学理论	331
中国哲学	331
(专业学位)法律（法学）	331
计量心理学	331
外国语言教育学	331
教师教育	331
少年儿童组织与思想意识教育	331
资源与环境遥感	331
女性教育学	331
(专业学位)学科教学（体育）	330
基础心理学	330
临床遗传学	330
医药信息管理	330
干细胞与再生医学	330
考古学	330
比较医学	330
生殖医学	330
治安学	328
(专业学位)学科教学（音乐）	328
藏学	328
适航技术与管理	327
历史文献学	327
老年教育与老年法学	325
知识产权与人工智能法学	325
中国民族法学	325
发展研究	325
统一战线学	325
专门史	325
中国古代史	325
法行政学	325
国际与区域安全学	325
中医工程	325
国际政治与国际法治	325
国际法商英语	325
社会主义法制教育与传播研究	325
伦理学	325
金融服务法	325
区域学	325
司法鉴定学	325
民族文化产业	325
世界民族与民族问题	325
马克思主义法学	325
公安学	325
财税法学	325
民族生态学	325
公共外交	325
区域音乐与舞蹈文化	325
比较政治	325
生态设计与技术	325
国际司法与执法合作	325
智能电网与控制	325
应用统计	324
民俗学与历史文化	324
★智能科学与技术	324
历史文献学（含∶敦煌学、古文字	324
传统文化与文化产业	324
东南亚研究	324
中国少数民族史	324
(专业学位)皮肤病与性病学	324
民族学	323
哲学	323
民族法学	323
科学技术哲学	323
临床药学	322
统计学	322
中国少数民族艺术	321
医学基础药理学	320
药学(化学生物学)	320
病理生理学	320
临床护理学	320
生物物理和软凝聚态	320
生物药学	320
纳米材料与纳米技术	320
海洋物理	320
数字地质科学	320
城市地下空间工程	320
资源环境监测与规划	320
基础护理学	320
消防工程	320
全球健康学	320
人体生理学	320
医学心理学	320
全球卫生学	320
马克思主义民族理论与政策	320
应激生物学	320
中医五官科学	320
海洋生物技术	320
社区护理学	320
遗传咨询	320
药物毒理学	320
生物制品学	320
城市轨道交通工程	320
人类文化遗产学	320
电子信息技术及仪器	320
再生医学	320
大数据科学与工程	320
土木工程规划与管理	320
中西医结合护理	319
城乡规划学	319
中国少数民族经济	318
金融信息工程	318
微细制造及微机电系统	318
自然保护区学	318
民族社会学	317
物流工程	316
全科医学	315
数字化纺织工程	315
医学物理	315
高分子材料科学与工程	315
古代纺织材料与技术	315
工业与系统工程	315
重症医学	315
岩土力学与工程	315
立法学	315
医学物理学	315
数字化设计与仿真	315
海洋环境科学与技术	315
风能工程	315
合成生物学	315
数字表演	315
纺织复合材料	315
环境信息与规划管理	315
数字化材料成形	315
纺织生物材料与技术	315
质量法学	315
中药资源学	315
光机电微纳制造	315
数理统计	314
冶金环境安全工程	314
城市林业	314
(专业学位)影像医学与核医学	314
(专业学位)儿科学	314
(专业学位)妇产科学	314
药学	314
老年医学	314
工业工程	314
医学细胞生物学	313
体育教育学	313
(专业学位)眼科学	313
(专业学位)外科学	313
环境规划与管理	312
医学神经生物学	312
(专业学位)口腔医学	312
(专业学位)神经病学	312
(专业学位)中医妇科学	312
口腔医学	311
医学生理学	311
地球信息科学	311
工程管理	311
教育技术学	311
公共卫生与预防医学	311
生物质科学与工程	310
建筑设计及其理论	310
病理学	310
大气科学(物理海洋学)	310
纳米科学与技术	310
管理哲学	310
健康教育与健康促进	310
医学信息学	310
量子电子学	310
(专业学位)针灸推拿学	310
口腔基础医学	310
新能源汽车工程	310
仿生科学与工程	310
转化医学	310
(专业学位)康复医学与理疗学	310
车身工程	310
土木工程建造与管理	310
力学系统与控制	310
化学基因组学	310
生物统计学	310
地理学(历史地理学)	310
中医诊断学	310
针灸推拿学	310
微生物与生化药学	310
矿产资源经济与技术	310
(专业学位)临床医学	310
(专业学位)老年医学	309
中西医结合基础	309
地球化学	309
(专业学位)耳鼻咽喉科学	309
神经病学	309
科学技术史	309
儿少卫生与妇幼保健学	308
可再生能源与清洁能源	308
(专业学位)急诊医学	308
口腔临床医学	308
无线电物理	308
药剂学	308
精神病与精神卫生学	308
卫生毒理学	307
康复医学与理疗学	307
基础医学	307
能源化工	307
新能源材料与器件	307
生药学	307
(专业学位)麻醉学	306
儿科学	306
流行病与卫生统计学	306
(专业学位)全科医学（不授博士	306
地理学	306
药理学	306
中医医史文献	306
中医骨伤科学	306
中西医结合临床	306
免疫学	306
临床医学	306
药物化学	306
特种医学	306
影像医学与核医学	306
耳鼻咽喉科学	306
(专业学位)内科学	306
中医基础理论	306
(专业学位)中医儿科学	306
人体解剖与组织胚胎学	306
(专业学位)精神病与精神卫生学	305
护理学	305
微电子科学与工程	305
(专业学位)肿瘤学	305
矿物学、岩石学、矿床学	305
口腔颌面外科学	305
眼科学	305
(专业学位)药学	305
卫生事业管理	305
中医儿科学	305
空间探测与信息处理技术	305
皮肤病与性病学	305
