学校名称	平均分数线（高到低）
西南财经大学	360
大连外国语大学	356
中南财经政法大学	356
甘肃政法学院	355
西安工程大学	355
浙江传媒学院	355
天津外国语大学	353
中国传媒大学	351
阜阳师范大学	351
中国人民大学	351
中国戏曲学院	351
外交学院	350
中国音乐学院	350
中央音乐学院	348
北京电影学院	348
对外经济贸易大学	348
沈阳音乐学院	347
天津美术学院	347
中央戏剧学院	347
湖北美术学院	347
广州美术学院	347
南京艺术学院	347
吉林艺术学院	347
泉州师范学院	347
鲁迅美术学院	347
湖南大学	346
贵州财经大学	345
山东工商学院	344
中国政法大学	344
洛阳师范学院	342
浙江财经大学	342
北京外国语大学	342
中央美术学院	342
北京第二外国语学院	341
信阳师范学院	340
湖北文理学院	340
深圳大学	340
上海外国语大学	340
吉林师范大学	340
南京邮电大学	339
北京大学	338
闽南师范大学	338
湖南师范大学	338
广西艺术学院	338
北京师范大学	337
湖北师范大学	337
武汉大学	337
云南艺术学院	337
上海对外经贸大学	336
黄冈师范学院	336
华中科技大学	336
陕西师范大学	335
华中师范大学	335
南开大学	333
东北大学	332
浙江大学	332
北京理工大学	332
四川大学	332
衡阳师范学院	332
暨南大学	332
吉林大学	332
湖南工商大学	331
合肥师范学院	331
浙江工商大学	331
安阳师范学院	331
中央财经大学	330
华南理工大学	330
复旦大学	330
山东财经大学	330
南京大学	330
中国美术学院	330
江西财经大学	330
北京印刷学院	330
鲁东大学	329
浙江师范大学	329
郑州大学	328
首都师范大学	328
苏州大学	328
天津师范大学	327
厦门大学	327
中南大学	327
上海财经大学	326
华东政法大学	326
哈尔滨师范大学	326
安徽大学	325
井冈山大学	325
中国刑事警察学院	325
河北师范大学	325
西北政法大学	325
青岛大学	325
上海政法学院	325
北京航空航天大学	324
重庆大学	324
江苏师范大学	324
清华大学	324
西北民族大学	324
东华大学	324
曲阜师范大学	323
齐齐哈尔大学	323
中央民族大学	323
绍兴文理学院	322
赣南师范大学	322
东北师范大学	321
江西师范大学	321
南京审计大学	320
北京服装学院	320
辽宁师范大学	320
中南民族大学	320
沈阳师范大学	320
西南大学	319
天津商业大学	319
河南大学	319
西南交通大学	319
南京师范大学	319
济南大学	319
山东师范大学	318
安徽师范大学	318
温州大学	318
牡丹江师范学院	318
湖北大学	317
华南师范大学	317
东南大学	317
同济大学	317
合肥工业大学	316
南京财经大学	316
渤海大学	316
上海交通大学	316
首都经济贸易大学	316
上海师范大学	316
天津大学	316
上海中医药大学	316
山东大学	316
辽宁大学	316
黑龙江大学	316
安庆师范大学	315
延安大学	315
兰州财经大学	315
海南师范大学	315
福建师范大学	315
山西师范大学	315
哈尔滨商业大学	315
华中农业大学	315
南京航空航天大学	314
长春师范大学	314
江南大学	314
河南师范大学	314
哈尔滨工业大学	314
北京交通大学	314
河北大学	313
重庆师范大学	313
中国矿业大学（北京）	313
西安理工大学	313
中国药科大学	313
南京中医药大学	312
重庆工商大学	312
重庆医科大学	312
杭州师范大学	312
南京农业大学	312
河北科技师范学院	312
南昌大学	311
江西科技师范大学	311
武汉理工大学	311
中山大学	311
成都中医药大学	310
华东理工大学	310
中国地质大学（北京）	310
浙江理工大学	309
北京科技大学	309
内蒙古师范大学	309
五邑大学	309
北京工商大学	308
上海大学	308
北京林业大学	308
宁波大学	308
江西中医药大学	307
湖南科技大学	307
中国科学技术大学	306
陕西中医药大学	306
聊城大学	306
广西民族大学	306
山东中医药大学	306
山西大学	306
佳木斯大学	306
广州大学	306
湖北中医药大学	306
西北师范大学	306
