学校名称	专业数量
武汉大学	253
北京大学	240
吉林大学	236
西南大学	227
厦门大学	199
复旦大学	177
山东大学	177
四川大学	173
中国人民大学	158
云南大学	157
南开大学	146
昆明理工大学	142
中国农业科学院	138
暨南大学	136
中南大学	136
上海交通大学	133
南京大学	128
南京理工大学	124
辽宁大学	120
西北师范大学	120
浙江大学	116
福州大学	114
同济大学	114
北京师范大学	113
福建师范大学	113
华南师范大学	112
中国科学院大学	112
南京师范大学	111
清华大学	108
湖南师范大学	108
中国海洋大学	107
中山大学	106
首都师范大学	103
延边大学	103
东北师范大学	101
华中科技大学	101
安徽大学	100
郑州大学	99
哈尔滨医科大学	99
山西大学	97
河南大学	96
广州大学	93
黑龙江大学	93
辽宁师范大学	92
沈阳师范大学	92
华东师范大学	91
东南大学	89
重庆师范大学	88
天津师范大学	88
河北大学	87
苏州大学	87
江西师范大学	86
华中师范大学	86
山西医科大学	85
中国农业大学	84
中央民族大学	84
哈尔滨师范大学	83
天津大学	83
浙江师范大学	82
华南理工大学	80
北京协和医学院	78
河海大学	78
中南民族大学	77
扬州大学	76
山东师范大学	75
沈阳农业大学	75
重庆大学	73
重庆医科大学	73
华北理工大学	73
北京交通大学	73
南昌大学	72
上海财经大学	72
武汉理工大学	72
北京航空航天大学	71
长江大学	71
杭州师范大学	71
内蒙古师范大学	70
中南财经政法大学	70
中央财经大学	68
上海大学	67
上海师范大学	67
华南农业大学	66
淮北师范大学	66
对外经济贸易大学	66
吉林师范大学	66
南京航空航天大学	65
长春中医药大学	65
南京农业大学	65
山东财经大学	64
四川农业大学	64
汕头大学	63
中国政法大学	63
江苏师范大学	62
西南交通大学	62
河南师范大学	62
广西师范大学	62
北华大学	61
江苏大学	60
上海理工大学	59
南京医科大学	58
首都医科大学	58
燕山大学	57
合肥工业大学	56
吉林农业大学	56
宁波大学	56
安徽师范大学	55
河北师范大学	55
湖南大学	55
江西财经大学	55
内蒙古医科大学	54
安徽农业大学	54
云南农业大学	54
北京林业大学	54
中国医科大学	54
内蒙古农业大学	54
华东理工大学	53
中国科学技术大学	52
福建农林大学	52
中国矿业大学	51
北京理工大学	51
佳木斯大学	51
北京科技大学	50
安徽医科大学	50
青岛大学	50
内蒙古大学	50
湖北大学	49
聊城大学	49
武汉工程大学	49
齐齐哈尔大学	49
华中农业大学	49
东北大学	48
河北农业大学	48
青岛科技大学	48
北京外国语大学	48
东北农业大学	47
曲阜师范大学	47
东华大学	47
福建医科大学	46
江西农业大学	46
湖北师范大学	46
北京工业大学	46
哈尔滨商业大学	46
成都中医药大学	45
哈尔滨工业大学	45
广西大学	44
河南科技大学	44
西北民族大学	44
江南大学	43
河南理工大学	41
浙江中医药大学	41
南京财经大学	41
湖南科技大学	41
西南医科大学	41
西安交通大学	40
武汉科技大学	40
中国传媒大学	40
东北林业大学	40
信阳师范学院	39
北京工商大学	39
哈尔滨工程大学	39
河南农业大学	39
江西理工大学	39
电子科技大学	38
重庆工商大学	38
北京邮电大学	38
中国地质大学（北京）	38
西南科技大学	37
湖南工商大学	37
中原工学院	37
赣南师范大学	37
山西师范大学	36
上海外国语大学	35
安徽理工大学	35
广西民族大学	34
首都经济贸易大学	34
广西医科大学	34
东北石油大学	34
武汉轻工大学	34
北京建筑大学	34
内蒙古民族大学	34
成都理工大学	34
东华理工大学	33
长沙理工大学	33
桂林医学院	33
湘潭大学	33
海南大学	32
天津商业大学	32
鲁东大学	32
北京中医药大学	32
温州大学	31
内蒙古工业大学	31
大连大学	31
华北电力大学	31
辽宁石油化工大学	31
上海海洋大学	31
太原理工大学	30
华东政法大学	30
海南师范大学	30
四川轻化工大学	29
浙江理工大学	29
河南中医药大学	29
南昌航空大学	29
河北工业大学	29
赣南医学院	29
长春理工大学	29
上海对外经贸大学	28
南通大学	28
广东工业大学	28
华东交通大学	27
浙江农林大学	27
武汉纺织大学	27
华侨大学	27
湖南农业大学	27
南京中医药大学	26
沈阳工业大学	26
安徽建筑大学	26
兰州财经大学	26
长春工业大学	26
济南大学	26
吉首大学	26
河北科技大学	25
杭州电子科技大学	25
山东建筑大学	25
武汉体育学院	25
右江民族医学院	25
常州大学	24
渤海大学	24
江西科技师范大学	24
桂林理工大学	24
山东理工大学	24
安徽工程大学	24
中南林业科技大学	24
浙江工业大学	24
石家庄铁道大学	24
山东农业大学	23
陕西中医药大学	23
天津职业技术师范大学	23
天津中医药大学	23
华北水利水电大学	23
大连海事大学	23
牡丹江师范学院	23
湖北民族大学	23
沈阳建筑大学	23
辽宁工业大学	22
烟台大学	22
上海海事大学	21
沈阳化工大学	21
浙江工商大学	21
福建中医药大学	21
湖北中医药大学	21
辽宁中医药大学	21
哈尔滨理工大学	20
山西农业大学	20
广东财经大学	20
湖北工业大学	20
东北电力大学	20
湖南工业大学	20
山东科技大学	19
江西中医药大学	19
天津科技大学	19
北方工业大学	19
苏州科技大学	18
深圳大学	18
西北政法大学	18
大连外国语大学	18
中国计量大学	18
中国戏曲学院	18
中国药科大学	18
上海电力学院	17
集美大学	17
沈阳药科大学	17
江苏科技大学	17
上海政法学院	17
上海中医药大学	17
沈阳理工大学	16
天津美术学院	16
中央戏剧学院	16
西南石油大学	16
太原科技大学	16
湖北美术学院	16
广东海洋大学	16
西安医学院	16
中北大学	16
北京农学院	15
青岛农业大学	15
黑龙江八一农垦大学	15
景德镇陶瓷大学	15
广西艺术学院	15
中国民航大学	14
北京信息科技大学	14
长春师范大学	14
黑龙江科技大学	14
重庆理工大学	14
北京化工大学	14
新乡医学院	14
辽宁科技大学	14
北方民族大学	14
闽南师范大学	14
北京印刷学院	14
上海应用技术大学	13
锦州医科大学	13
天津理工大学	13
沈阳航空航天大学	13
海南医学院	13
绍兴文理学院	12
北京第二外国语学院	12
浙江财经大学	12
南京艺术学院	12
山东中医药大学	12
吉林艺术学院	12
仲恺农业工程学院	12
广东药科大学	11
南京邮电大学	11
桂林电子科技大学	11
安徽工业大学	11
北京联合大学	11
天津外国语大学	11
青岛理工大学	11
中央美术学院	11
贵州师范大学	10
川北医学院	10
大连交通大学	10
内蒙古科技大学	10
西安邮电大学	10
重庆交通大学	10
潍坊医学院	9
中央音乐学院	9
重庆邮电大学	9
安徽中医药大学	9
沈阳医学院	9
沈阳音乐学院	8
外交学院	8
牡丹江医学院	8
上海体育学院	8
黑龙江中医药大学	8
天津工业大学	8
河北科技师范学院	8
南华大学	8
上海工程技术大学	7
北京电影学院	7
阜阳师范大学	7
北京服装学院	7
西华大学	7
长春大学	7
中国美术学院	7
西安工程大学	6
西安建筑科技大学	6
安庆师范大学	6
湖南中医药大学	6
齐鲁工业大学	6
南京审计大学	6
湖北汽车工业学院	6
太原师范学院	6
天津城建大学	5
中国刑事警察学院	5
延安大学	5
中国音乐学院	5
贵州财经大学	5
山东工商学院	5
合肥师范学院	4
西安科技大学	4
洛阳师范学院	4
浙江海洋大学	4
湖南理工学院	4
五邑大学	4
江苏理工学院	4
滨州医学院	4
宝鸡文理学院	4
西北农林科技大学	4
鲁迅美术学院	4
河北工程大学	3
安徽科技学院	3
西安电子科技大学	3
河北建筑工程学院	3
大连医科大学	3
广西科技大学	3
遵义医学院	3
甘肃政法学院	2
南京信息工程大学	2
湖北文理学院	2
中国人民解放军军事医学科学院	2
中国矿业大学（北京）	2
大连理工大学	2
福建工程学院	2
黄冈师范学院	2
西安理工大学	2
西安石油大学	2
新疆财经大学	2
泉州师范学院	2
济宁医学院	1
云南财经大学	1
闽江学院	1
井冈山大学	1
浙江传媒学院	1
陕西师范大学	1
安阳师范学院	1
西安工业大学	1
衡阳师范学院	1
广州美术学院	1
中国民用航空飞行学院	1
新疆农业大学	1
北京石油化工学院	1
吉林化工学院	1
湖州师范学院	1
西南财经大学	1
云南艺术学院	1
南昌工程学院	1
中国石油大学（华东）	1
西华师范大学	1
