年份,学校名称_链接,学校名称,院系名称_链接,院系名称,专业代码,专业名称_链接,专业名称,总分,政治__管综,外语,业务课_一,业务课_二
2020,http://yz.kaoyan365.cn/school/cupl/,中国政法大学,http://yz.kaoyan365.cn/school/cupl/yuanxi/11427/,商学院,25400,http://yz.kaoyan365.cn/school/cupl/zhuanye/145546.html,(专业学位)国际商务,343,48,48,72,72
2020,http://yz.kaoyan365.cn/school/cupl/,中国政法大学,http://yz.kaoyan365.cn/school/cupl/yuanxi/11427/,商学院,0202Z1,http://yz.kaoyan365.cn/school/cupl/zhuanye/145539.html,商业大数据分析,345,49,49,74,74
2020,http://yz.kaoyan365.cn/school/cupl/,中国政法大学,http://yz.kaoyan365.cn/school/cupl/yuanxi/11427/,商学院,20205,http://yz.kaoyan365.cn/school/cupl/zhuanye/145533.html,产业经济学,343,48,48,72,72
2020,http://yz.kaoyan365.cn/school/cupl/,中国政法大学,http://yz.kaoyan365.cn/school/cupl/yuanxi/11427/,商学院,20204,http://yz.kaoyan365.cn/school/cupl/zhuanye/145530.html,金融学,343,48,48,72,72
2020,http://yz.kaoyan365.cn/school/cupl/,中国政法大学,http://yz.kaoyan365.cn/school/cupl/yuanxi/11427/,商学院,20206,http://yz.kaoyan365.cn/school/cupl/zhuanye/145536.html,国际贸易学,343,48,48,72,72
2020,http://yz.kaoyan365.cn/school/cupl/,中国政法大学,http://yz.kaoyan365.cn/school/cupl/yuanxi/11427/,商学院,20205,http://yz.kaoyan365.cn/school/cupl/zhuanye/145534.html,产业经济学,343,48,48,72,72
2020,http://yz.kaoyan365.cn/school/cupl/,中国政法大学,http://yz.kaoyan365.cn/school/cupl/yuanxi/11427/,商学院,20204,http://yz.kaoyan365.cn/school/cupl/zhuanye/145529.html,金融学,343,48,48,72,72
2020,http://yz.kaoyan365.cn/school/cupl/,中国政法大学,http://yz.kaoyan365.cn/school/cupl/yuanxi/11427/,商学院,20204,http://yz.kaoyan365.cn/school/cupl/zhuanye/145528.html,金融学,343,48,48,72,72
2020,http://yz.kaoyan365.cn/school/cupl/,中国政法大学,http://yz.kaoyan365.cn/school/cupl/yuanxi/11427/,商学院,20104,http://yz.kaoyan365.cn/school/cupl/zhuanye/145524.html,西方经济学,343,48,48,72,72
2020,http://yz.kaoyan365.cn/school/cupl/,中国政法大学,http://yz.kaoyan365.cn/school/cupl/yuanxi/11427/,商学院,20205,http://yz.kaoyan365.cn/school/cupl/zhuanye/145535.html,产业经济学,343,48,48,72,72
